DATE,spindx
19990312,1294.59
19990315,1307.26
19990316,1306.38
19990317,1297.82
19990318,1316.55
19990319,1299.29
19990322,1297.01
19990323,1262.14
19990324,1268.59
19990325,1289.99
19990326,1282.80
19990329,1310.17
19990330,1300.75
19990331,1286.37
19990401,1293.72
19990405,1321.12
19990406,1317.89
19990407,1326.89
19990408,1343.98
19990409,1348.35
19990412,1358.64
19990413,1349.82
19990414,1328.44
19990415,1322.86
19990416,1319.00
19990419,1289.48
19990420,1306.17
19990421,1336.12
19990422,1358.82
19990423,1356.85
19990426,1360.04
19990427,1362.80
19990428,1350.91
19990429,1342.83
19990430,1335.18
19990503,1354.63
19990504,1332.00
19990505,1347.31
19990506,1332.05
19990507,1345.00
19990510,1340.30
19990511,1355.61
19990512,1364.00
19990513,1367.56
19990514,1337.80
19990517,1339.49
19990518,1333.32
19990519,1344.23
19990520,1338.83
19990521,1330.29
19990524,1306.65
19990525,1284.40
19990526,1304.76
19990527,1281.41
19990528,1301.84
19990601,1294.26
19990602,1294.81
19990603,1299.54
19990604,1327.75
19990607,1334.52
19990608,1317.33
19990609,1318.64
19990610,1302.82
19990611,1293.64
19990614,1294.00
19990615,1301.16
19990616,1330.41
19990617,1339.90
19990618,1342.84
19990621,1349.00
19990622,1335.88
19990623,1333.06
19990624,1315.78
19990625,1315.31
19990628,1331.35
19990629,1351.45
19990630,1372.71
19990701,1380.96
19990702,1391.22
19990706,1388.12
19990707,1395.86
19990708,1394.42
19990709,1403.28
19990712,1399.10
19990713,1393.56
19990714,1398.17
19990715,1409.62
19990716,1418.78
19990719,1407.65
19990720,1377.10
19990721,1379.29
19990722,1360.97
19990723,1356.94
19990726,1347.76
19990727,1362.84
19990728,1365.40
19990729,1341.03
19990730,1328.72
19990802,1328.05
19990803,1322.18
19990804,1305.33
19990805,1313.71
19990806,1300.29
19990809,1297.80
19990810,1281.43
19990811,1301.93
19990812,1298.16
19990813,1327.68
19990816,1330.77
19990817,1344.16
19990818,1332.84
19990819,1323.59
19990820,1336.61
19990823,1360.22
19990824,1363.50
19990825,1381.79
19990826,1362.01
19990827,1348.27
19990830,1324.02
19990831,1320.41
19990901,1331.07
19990902,1319.11
19990903,1357.24
19990907,1350.45
19990908,1344.15
19990909,1347.66
19990910,1351.66
19990913,1344.13
19990914,1336.29
19990915,1317.97
19990916,1318.48
19990917,1335.42
19990920,1335.53
19990921,1307.58
19990922,1310.51
19990923,1280.41
19990924,1277.36
19990927,1283.31
19990928,1282.20
19990929,1268.37
19990930,1282.71
19991001,1282.81
19991004,1304.60
19991005,1301.35
19991006,1325.40
19991007,1317.64
19991008,1336.02
19991011,1335.21
19991012,1313.04
19991013,1285.55
19991014,1283.42
19991015,1247.41
19991018,1254.13
19991019,1261.32
19991020,1289.43
19991021,1283.61
19991022,1301.65
19991025,1293.63
19991026,1281.91
19991027,1296.71
19991028,1342.44
19991029,1362.93
19991101,1354.12
19991102,1347.74
19991103,1354.93
19991104,1362.64
19991105,1370.23
19991108,1377.01
19991109,1365.28
19991110,1373.46
19991111,1381.46
19991112,1396.06
19991115,1394.39
19991116,1420.07
19991117,1410.71
19991118,1424.94
19991119,1422.00
19991122,1420.94
19991123,1404.64
19991124,1417.08
19991126,1416.62
19991129,1407.83
19991130,1388.91
19991201,1397.72
19991202,1409.04
19991203,1433.30
19991206,1423.33
19991207,1409.17
19991208,1403.88
19991209,1408.11
19991210,1417.04
19991213,1415.22
19991214,1403.17
19991215,1413.32
19991216,1418.78
19991217,1421.03
19991220,1418.09
19991221,1433.43
19991222,1436.13
19991223,1458.34
19991227,1457.10
19991228,1457.66
19991229,1463.46
19991230,1464.47
19991231,1469.25
20000103,1455.22
20000104,1399.42
20000105,1402.11
20000106,1403.45
20000107,1441.47
20000110,1457.60
20000111,1438.56
20000112,1432.25
20000113,1449.68
20000114,1465.15
20000118,1455.14
20000119,1455.90
20000120,1445.57
20000121,1441.36
20000124,1401.53
20000125,1410.03
20000126,1404.09
20000127,1398.56
20000128,1360.16
20000131,1394.46
20000201,1409.28
20000202,1409.12
20000203,1424.97
20000204,1424.37
20000207,1424.24
20000208,1441.72
20000209,1411.70
20000210,1416.83
20000211,1387.12
20000214,1389.94
20000215,1402.05
20000216,1387.67
20000217,1388.26
20000218,1346.09
20000222,1352.17
20000223,1360.69
20000224,1353.43
20000225,1333.36
20000228,1348.05
20000229,1366.42
20000301,1379.19
20000302,1381.76
20000303,1409.17
20000306,1391.28
20000307,1355.62
20000308,1366.70
20000309,1401.69
20000310,1395.07
20000313,1383.62
20000314,1359.15
20000315,1392.15
20000316,1458.47
20000317,1464.47
20000320,1456.63
20000321,1493.87
20000322,1500.64
20000323,1527.35
20000324,1527.46
20000327,1523.86
20000328,1507.73
20000329,1508.52
20000330,1487.92
20000331,1498.58
20000403,1505.97
20000404,1494.73
20000405,1487.37
20000406,1501.34
20000407,1516.35
20000410,1504.46
20000411,1500.59
20000412,1467.17
20000413,1440.51
20000414,1356.56
20000417,1401.44
20000418,1441.61
20000419,1427.47
20000420,1434.54
20000424,1429.86
20000425,1477.44
20000426,1460.99
20000427,1464.92
20000428,1452.43
20000501,1468.25
20000502,1446.29
20000503,1415.10
20000504,1409.57
